 #    ,PC Name,No,Type,State,Winning Candidate,Party,,,,,,,Turnout,,Margin %,,Criminal Case,Education,,,
['132', 'Chimur', '25', 'GEN', 'Maharashtra', 'Shivankar Mahadeorao Sukaji', 'Bharatiya Janta Party', '11,13,832', '7,74,672', '69.60%',774', '12.80%', ['435', '0', 'Post Graduate',,,
['133', 'Chirayinkil', '19', 'GEN', 'Kerala', 'Varkala Radhakrishnan', 'Communist Party Of India (MARXIST)', '10,20,604', '6,68,280', '65.50%',745', '7.60%', ['493', '0', 'Graduate Professional',,,
['134', 'Chitradurga', '7', 'GEN', 'Karnataka', 'N.Y. Hanumanthappa', 'Indian National Congress', '13,16,427', '9,17,046', '69.70%',460', '4.10%', ['303', '0', 'Post Graduate',,,
['135', 'Chittoor', '21', 'GEN', 'Andhra Pradesh', 'D.K. Audikesavulu', 'Telugu Desam', '11,70,325', '8,74,425', '74.70%',138', '7.10%', ['117', '0', 'Not Given',,,
['136', 'Chittorgarh', '19', 'ST', 'Rajasthan', 'Shrichand Kriplani', 'Bharatiya Janta Party', '13,85,950', '6,70,995', '48.40%',35,770', '20.20%', 'BJP', '0',,,
['137', 'Churu', '3', 'GEN', 'Rajasthan', 'Ramsingh Kaswan', 'Bharatiya Janta Party', '13,71,821', '8,32,555', '60.70%',854', '3.60%', ['392', '0', 'Graduate Professional',,,
['139', 'Contai', '31', 'GEN', 'West Bengal', 'Prasanta Pradhan', 'Communist Party Of India (MARXIST)', '10,81,102', '9,21,634', '85.30%',190', '6.40%', ['354', '0', 'Post Graduate',,,
['140', 'Cooch Behar', '1', 'SC', 'West Bengal', 'Hiten Barman', 'All India Forward Bloc', '11,48,934', '9,47,381', '82.50%',26,569', '23.90%', 'AIFB', '0',,,
['141', 'Cuddalore', '11', 'GEN', 'Tamil Nadu', 'Venkatapathy. K', 'Dravida Munetra Kazhagam', '12,6,876', '7,58,178', '62.80%',31,352', '17.30%', 'DMK', '5',,,
['142', 'Cuddapah', '23', 'GEN', 'Andhra Pradesh', 'Y.S. Vivekananda Reddy', 'Indian National Congress', '11,43,505', '8,14,047', '71.20%',31,674', '16.20%', 'INC', '0',,,
['143', 'Cuttack', '6', 'GEN', 'Orissa', 'Bhartruhari Mahtab', 'Biju Janata Dal', '12,36,228', '8,20,082', '66.30%',73,198', '21.10%', 'BJD', '0',,,
['144', 'Dadra & Nagar Haveli', '1', 'GEN', 'Dadra & Nagar Haveli', 'Delkar Mohanbhai Sanjibhai', 'Bharatiya Navshakti Party', '1,22,681', '84,699', '69.00%', '12, '15.20%', ['124', 'DELKAR MOHANBHAI SANJIBHAI', '12th Pass', 'RsÂ\xa02,,,
['145', 'Dahanu', '11', 'GEN', 'Maharashtra', 'Shingada Damodar Barku', 'Indian National Congress', '16,5,119', '6,83,263', '42.60%',363', '9.30%', ['433', '0', '10th Pass',,,
['146', 'Dahod', '17', 'GEN', 'Gujarat', 'Katara Babubhai Khimabhai', 'Bharatiya Janta Party', '12,12,453', '5,17,809', '42.70%', '0.10%', ['222', 'KATARA BABUBHAI KHIMABHAI', 'Graduate', 'RsÂ\xa07,,,
['147', 'Daman And Diu', '1', 'GEN', 'Daman & Diu', 'Patel Dahyabhai Vallabhbhai', 'Indian National Congress', '79,232', '55,590', '70.20%', '607', '1.10%', 'PATEL DAHYABHAI VALLABHBHAI', 'Daman And Diu', 'INC',47,87,,,
['148', 'Damoh', '7', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Chandrabhan Bhaiya', 'Bharatiya Janta Party', '13,98,539', '5,91,038', '42.30%',595', '16.00%', ['98', '0', '8th Pass',,,
['149', 'Darbhanga', '15', 'GEN', 'Bihar [2000 Onwards]', 'Md. Ali Ashraf Fatmi', 'Rashtriya Janata Dal', '12,2,456', '7,64,102', '63.60%',43,463', '18.80%', 'RJD', '0',,,
['150', 'Darjeeling', '4', 'GEN', 'West Bengal', 'Dawa Narbula', 'Indian National Congress', '12,49,238', '8,86,298', '71.00%',1,416', '11.40%', 'INC', '0',,,
['151', 'Dausa', '7', 'GEN', 'Rajasthan', 'Sachin Pilot', 'Indian National Congress', '14,62,752', '7,15,613', '48.90%',14,865', '16.10%', 'INC', '0',,,
['152', 'Davangere', '6', 'ST', 'Karnataka', 'G.M. Siddeswara', 'Bharatiya Janta Party', '13,32,608', '9,8,840', '68.20%',676', '3.60%', ['161', '0', '10th Pass',,,
['154', 'Deogarh', '18', 'GEN', 'Orissa', 'Dharmendra Pradhan', 'Bharatiya Janta Party', '12,19,887', '8,23,184', '67.50%',096', '9.60%', ['132', '0', 'Post Graduate',,,
['155', 'Deoria', '37', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Mohan Singh', 'Samajwadi Party', '15,69,719', '7,30,406', '46.50%',226', '7.20%', ['293', '0', 'Not Given',,,
['156', 'Dhanbad', '7', 'GEN', 'Jharkhand', 'Chandra Shekhar Dubey', 'Indian National Congress', '17,49,456', '9,41,715', '53.80%',19,378', '12.70%', 'INC', '0',,,
['157', 'Dhandhuka', '9', 'GEN', 'Gujarat', 'Varma Ratilal Kalidas', 'Bharatiya Janta Party', '11,56,178', '5,16,531', '44.70%',794', '4.40%', ['494', '0', 'Post Graduate',,,
['158', 'Dhar', '25', 'ST', 'Madhya Pradesh [2000 Onwards]', 'Chhatar Singh Darbar', 'Bharatiya Janta Party', '13,25,680', '7,2,989', '53.00%',611', '4.60%', ['110', '1', 'Post Graduate',,,
['160', 'Dharwad North', '24', 'GEN', 'Karnataka', 'Pralhad Joshi', 'Bharatiya Janta Party', '12,50,578', '8,9,816', '64.80%',078', '10.30%', ['350', '4', 'Graduate',,,
['161', 'Dharwad South', '23', 'GEN', 'Karnataka', 'Kunnur Manjunath Channappa', 'Bharatiya Janta Party', '12,4,353', '8,65,016', '71.80%',45,112', '16.80%', 'BJP', '0',,,
['162', 'Dhenkanal', '19', 'GEN', 'Orissa', 'Tathagata Satapathy', 'Biju Janata Dal', '11,74,787', '7,90,179', '67.30%',22,882', '15.60%', 'BJD', '5',,,
['163', 'Dhubri', '4', 'GEN', 'Assam', 'Anwar Hussain', 'Indian National Congress', '11,49,939', '8,63,463', '75.10%',16,622', '13.50%', 'INC', '0',,,
['165', 'Diamond Harbour', '17', 'GEN', 'West Bengal', 'Samik Lahiri', 'Communist Party Of India (MARXIST)', '11,2,946', '8,35,475', '75.80%',53,784', '18.40%', 'CPM', '0',,,
['166', 'Dibrugarh', '13', 'GEN', 'Assam', 'Sarbananda Sonowal', 'Asom Gana Parisad', '9,69,905', '6,31,416', '65.10%',554', '2.90%', ['425', '0', 'Graduate Professional',,,
['167', 'Dindigul', '23', 'GEN', 'Tamil Nadu', 'Chitthan, N. S. V.', 'Indian National Congress', '11,37,313', '6,88,646', '1,55,171', N. S. V.', 'Dindigul',75,536']],
['168', 'Domariaganj', '31', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Mohd. Muqueem', 'Bahujan Samaj Party', '13,50,045', '6,43,127', '47.60%',902', '8.20%', ['294', '2', '10th Pass',,,
['169', 'Dum Dum', '20', 'SC', 'West Bengal', 'Amitava Nandy', 'Communist Party Of India (MARXIST)', '15,43,705', '12,45,065', '80.70%',252', '7.90%', ['28', '0', '12th Pass',,,
['170', 'Dumka', '2', 'ST', 'Jharkhand', 'Shibu Soren', 'Jharkhand Mukti Morcha', '10,83,200', '6,25,043', '57.70%',15,015', '18.40%', 'JMM', '4',,,
['171', 'Durg', '10', 'ST', 'Chhattisgarh', 'Tarachand Sahu', 'Bharatiya Janta Party', '14,62,883', '7,61,323', '52.00%',468', '8.10%', ['477', '0', 'Post Graduate',,,
['172', 'Durgapur', '37', 'SC', 'West Bengal', 'Sunil Khan', 'Communist Party Of India (MARXIST)', '11,50,939', '8,44,777', '73.40%',77,508', '32.80%', 'CPM', '0',,,
['173', 'East Delhi', '4', 'GEN', 'Delhi [1977 Onwards]', 'Sandeep Dikshit', 'Indian National Congress', '26,6,589', '11,90,884', '45.70%',29,779', '19.30%', 'INC', '0',,,
['174', 'Eluru', '11', 'GEN', 'Andhra Pradesh', 'Kavuru Samba Siva Rao', 'Indian National Congress', '11,51,672', '8,94,854', '77.70%',23,291', '13.80%', 'INC', '0',,,
['175', 'Erandol', '16', 'GEN', 'Maharashtra', 'Annasaheb M. K. Patil', 'Bharatiya Janta Party', '12,14,861', '6,9,392', '50.20%',141', '1.30%', ['37', '0', 'Post Graduate',,,
['176', 'Ernakulam', '11', 'GEN', 'Kerala', 'Dr. Sebastian Paul', 'Independent', '10,69,131', '6,57,891', '61.50%',099', '10.70%', ['148', '0', 'Doctorate',,,
['177', 'Etah', '67', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Ku. Devendra Singh Yadav', 'Samajwadi Party', '11,28,519', '5,87,065', '52.00%',335', '8.70%', ['239', '0', 'Doctorate',,,
['178', 'Etawah', '62', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Raghuraj Singh Shakya', 'Samajwadi Party', '12,64,620', '7,3,901', '55.70%',90,157', '27.00%', 'SP', '0',,,
['179', 'Faizabad', '24', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Mitrasen', 'Bahujan Samaj Party', '13,26,533', '6,86,478', '51.80%',486', '4.90%', ['289', '27', '12th Pass',,,
['180', 'Faridabad', '6', 'GEN', 'Haryana', 'Avtar Singh Bhadana', 'Indian National Congress', '15,46,578', '8,44,647', '54.60%',51,929', '18.00%', 'INC', '0',,,
['181', 'Faridkot', '12', 'GEN', 'Punjab', 'Sukhbir Singh Badal', 'Shiromani Akali Dal', '12,62,934', '8,93,428', '70.70%',35,279', '15.10%', 'SAD', '1',781']],,
['182', 'Farrukhabad', '64', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Chandra Bhushan Singh (MUNNOO BABU)', 'Samajwadi Party', '13,66,501', '6,65,458', '48.70%',745', '0.40%', ['94', '0', 'Post Graduate',,,
['183', 'Fatehpur', '54', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Mahendra Prasad Nishad', 'Bahujan Samaj Party', '12,79,387', '5,6,655', '39.60%',568', '10.40%', ['267', '0', 'Graduate',,,
['184', 'Ferozepur', '13', 'GEN', 'Punjab', 'Zora Singh Maan', 'Shiromani Akali Dal', '13,2,221', '8,67,635', '66.60%',539', '1.30%', ['514', '1', '10th Pass',,,
['185', 'Firozabad', '68', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Ram Ji Lal Suman', 'Samajwadi Party', '13,5,888', '5,31,305', '40.70%',788', '10.30%', ['383', '2', 'Graduate',,,
['187', 'Ganganagar', '1', 'SC', 'Rajasthan', 'Nihalchand Meghwal', 'Bharatiya Janta Party', '13,37,857', '7,20,451', '53.90%',393', '1.00%', ['315', '0', 'Graduate',,,
['188', 'Garhwal', '2', 'GEN', 'Uttarakhand', 'Maj. Gen. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM)', 'Bharatiya Janta Party', '10,81,299', '4,99,546', '46.20%',962', '10.20%', ['268', '0', 'Graduate Professional',,,
['189', 'Gauhati', '7', 'GEN', 'Assam', 'Kirip Chaliha', 'Indian National Congress', '14,41,360', '8,81,696', '61.20%',151', '6.90%', ['227', '0', 'Post Graduate',,,
['190', 'Gaya', '40', 'SC', 'Bihar [2000 Onwards]', 'Rajesh Kumar Manjhi', 'Rashtriya Janata Dal', '14,36,323', '8,83,374', '61.50%',2,934', '11.70%', 'RJD', '0',,,
['191', 'Ghatampur', '59', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Radhey Shyam Kori', 'Samajwadi Party', '12,7,492', '5,4,722', '41.80%',312', '2.00%', ['365', '0', '10th Pass',,,
['192', 'Ghazipur', '46', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Afajal Ansari', 'Samajwadi Party', '14,76,687', '8,69,032', '58.90%',26,777', '26.10%', 'SP', '1',,,
['193', 'Ghosi', '40', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Chandradeo Prasad Rajbhar', 'Samajwadi Party', '14,27,284', '7,21,463', '50.60%',012', '2.90%', ['99', '0', 'Post Graduate',,,
['194', 'Giridih', '6', 'GEN', 'Jharkhand', 'Tek Lal Mahto', 'Jharkhand Mukti Morcha', '13,12,691', '7,14,371', '54.40%',49,794', '21.00%', 'JMM', '1',,,
['195', 'Gobichettipalayam', '19', 'SC', 'Tamil Nadu', 'Elangovan, E. V. K. S.', 'Indian National Congress', '10,52,350', '6,77,523', '2,14,477', E. V. K. S.', 'Gobichettipalayam',,,
['196', 'Godda', '3', 'GEN', 'Jharkhand', 'Furkan Ansari', 'Indian National Congress', '13,38,939', '8,31,337', '62.10%',754', '3.20%', ['158', '3', 'Graduate',,,
['197', 'Godhra', '18', 'GEN', 'Gujarat', 'Solanki Bhupendrasinh Prabhatsinh', 'Bharatiya Janta Party', '11,43,516', '5,37,101', '47.00%',719', '10.00%', ['445', '0', 'Graduate Professional',,,
['198', 'Gonda', '29', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Kirti Vardhan Singh Alias Raja Bhaiya', 'Samajwadi Party', '13,91,430', '6,6,618', '43.60%',998', '6.10%', ['228', '0', 'Post Graduate',,,
['199', 'Gopalganj', '4', 'GEN', 'Bihar [2000 Onwards]', 'Anirudh Prasad Alias Sadhu Yadav', 'Rashtriya Janata Dal', '12,31,178', '6,94,487', '56.40%',92,919', '27.80%', 'RJD', '3',,,
['200', 'Gorakhpur', '34', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Aditya Nath', 'Bharatiya Janta Party', '14,32,002', '6,89,217', '48.10%',42,039', '20.60%', 'BJP', '0',,,
['201', 'Gulbarga', '2', 'GEN', 'Karnataka', 'Iqbal Ahmed Saradgi', 'Indian National Congress', '14,39,006', '8,27,038', '57.50%',471', '6.90%', ['188', '0', 'Graduate Professional',,,
['202', 'Guna', '4', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Jyotiraditya Madhavrao Scindia', 'Indian National Congress', '14,22,045', '6,68,208', '47.00%',360', '12.90%', ['199', '0', 'Post Graduate',,,
['203', 'Guntur', '15', 'GEN', 'Andhra Pradesh', 'Rayapati Sambasiva Rao', 'Indian National Congress', '11,72,954', '8,20,124', '69.90%',29,792', '15.80%', 'INC', '0',,,
['204', 'Gurdaspur', '1', 'GEN', 'Punjab', 'Vinod Khanna', 'Bharatiya Janta Party', '12,10,260', '7,85,813', '64.90%',983', '3.20%', ['504', '0', 'Graduate',,,
['205', 'Gwalior', '3', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Ramsevak Singh ( BABUJI)', 'Indian National Congress', '13,81,464', '5,64,497', '40.90%',864', '6.40%', ['391', '0', '5th Pass',,,
['206', 'Hajipur', '8', 'GEN', 'Bihar [2000 Onwards]', 'Ram Vilas Paswan', 'Lok Jan Shakti Party', '12,8,834', '7,73,565', '64.00%',37,801', '30.70%', 'LJNSP', '0',,,
['207', 'Hamirpur', '4', 'SC', 'Himachal Pradesh', 'Suresh Chandel', 'Bharatiya Janta Party', '10,64,238', '6,49,994', '61.10%',615', '0.20%', ['468', '0', 'Post Graduate',,,
['208', 'Hamirpur', '56', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Rajnarayan Alias Rajju Mahraj', 'Samajwadi Party', '11,85,235', '6,4,055', '51.00%',154', '6.20%', ['379', '0', 'Graduate Professional',,,
['209', 'Hanamkonda', '38', 'GEN', 'Andhra Pradesh', 'B.Vinod Kumar', 'Telangana Rashtra Samithi', '12,7,089', '8,31,324', '68.90%',17,067', '26.10%', 'TRS', '0',,,
['210', 'Hapur', '75', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Surendra Prakash Goyal', 'Indian National Congress', '18,6,830', '7,99,663', '44.30%',363', '5.30%', ['467', '1', '8th Pass',,,
['211', 'Hardoi', '15', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Usha Verma', 'Samajwadi Party', '12,13,260', '5,22,063', '43.00%',203', '7.50%', ['490', '0', 'Post Graduate',,,
['212', 'Hardwar', '5', 'GEN', 'Uttarakhand', 'Rajendra Kumar', 'Samajwadi Party', '9,14,440', '4,86,341', '53.20%',659', '7.70%', ['375', '0', '8th Pass',,,
['214', 'Hathras', '71', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Kishan Lal Diler', 'Bharatiya Janta Party', '12,12,983', '4,92,076', '40.60%',837', '4.60%', ['229', '0', 'Not Given',,,
['215', 'Hazaribagh', '14', 'GEN', 'Jharkhand', 'Bhubneshwar Prasad Mehta', 'Communist Party Of India', '11,80,058', '7,5,438', '59.80%',5,328', '14.90%', 'CPI', '1',,,
['216', 'Hindupur', '24', 'GEN', 'Andhra Pradesh', 'Nizamoddin', 'Indian National Congress', '11,79,211', '8,65,406', '73.40%',840', '0.20%', ['320', '0', 'Graduate',,,
['217', 'Hingoli', '29', 'GEN', 'Maharashtra', 'Suryakanta Patil', 'Nationalist Congress Party', '11,89,303', '7,27,547', '61.20%',545', '1.70%', ['470', '2', 'Graduate',,,
['218', 'Hissar', '9', 'GEN', 'Haryana', 'Jai Parkash', 'Indian National Congress', '11,36,762', '7,69,679', '67.70%',82,768', '23.70%', 'INC', '5',,,
['219', 'Hooghly', '27', 'GEN', 'West Bengal', 'Rupchand Pal', 'Communist Party Of India (MARXIST)', '11,61,683', '9,19,683', '79.20%',66,966', '18.20%', 'CPM', '0',,,
['220', 'Hoshangabad', '18', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Sartaj Singh', 'Bharatiya Janta Party', '12,87,203', '6,33,736', '49.20%',36,409', '21.50%', 'BJP', '0',,,
['221', 'Hoshiarpur', '6', 'GEN', 'Punjab', 'Avinash Rai Khanna', 'Bharatiya Janta Party', '11,37,423', '6,55,662', '57.60%',4,371', '15.90%', 'BJP', '0',,,
['222', 'Howrah', '24', 'GEN', 'West Bengal', 'Swadesh Chakrabortty', 'Communist Party Of India (MARXIST)', '12,40,427', '9,9,246', '73.30%',46,937', '27.20%', 'CPM', '0',,,
['223', 'Hyderabad', '30', 'GEN', 'Andhra Pradesh', 'Asaduddin Owaisi', 'All India Majlis-E-Ittehadul Muslimoon', '17,70,725', '9,86,387', '55.70%',0,145', '10.20%', 'AIMIM', '3',,,
['224', 'Ichalkaranji', '47', 'GEN', 'Maharashtra', 'Mane Nivedita Sambhajirao', 'Nationalist Congress Party', '12,15,059', '7,90,264', '65.00%',1,049', '12.80%', 'NCP', '0',,,
['225', 'Idukki', '14', 'GEN', 'Kerala', 'K. Francis George', 'Kerala Congress', '10,34,338', '7,27,964', '70.40%',384', '9.50%', ['203', '1', 'Graduate Professional',,,
['227', 'Inner Manipur', '1', 'GEN', 'Manipur', 'Dr. Thokchom Meinya', 'Indian National Congress', '7,40,718', '4,16,376', '56.20%',333', '11.80%', ['151', '0', 'Doctorate',,,
['228', 'Jabalpur', '14', 'ST', 'Madhya Pradesh [2000 Onwards]', 'Rakesh Singh', 'Bharatiya Janta Party', '13,47,885', '5,72,548', '42.50%',531', '17.40%', ['380', '0', 'Graduate',,,
['229', 'Jadavpur', '18', 'GEN', 'West Bengal', 'Sujan Chakraborty', 'Communist Party Of India (MARXIST)', '13,54,946', '10,19,775', '75.30%',668', '8.80%', ['456', '0', 'Doctorate',,,
['230', 'Jagatsinghpur', '7', 'SC', 'Orissa', 'Brahmananda Panda', 'Biju Janata Dal', '13,1,496', '9,28,017', '71.30%',262', '6.20%', ['83', '0', 'Post Graduate',,,
['231', 'Jahanabad', '38', 'SC', 'Bihar [2000 Onwards]', 'Ganesh Prasad Singh', 'Rashtriya Janata Dal', '12,46,756', '8,63,788', '69.30%',438', '5.40%', ['166', '0', 'Post Graduate',,,
['232', 'Jaipur', '6', 'GEN', 'Rajasthan', 'Girdhari Lal Bhargava', 'Bharatiya Janta Party', '18,96,856', '8,80,276', '46.40%',7,186', '12.20%', 'BJP', '0',,,
['233', 'Jajpur', '4', 'ST', 'Orissa', 'Mohan Jena', 'Biju Janata Dal', '12,78,758', '8,76,068', '68.50%',466', '5.90%', ['291', '0', 'Post Graduate',,,
['234', 'Jalaun', '58', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Bhanu Pratap Singh Verma', 'Bharatiya Janta Party', '13,10,156', '5,79,748', '44.30%',791', '4.60%', ['71', '1', 'Post Graduate',,,
['235', 'Jalesar', '66', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Pro. S.P Singh Baghel', 'Samajwadi Party', '12,40,919', '6,50,313', '52.40%',6,068', '16.30%', 'SP', '1',,,
['236', 'Jalgaon', '17', 'GEN', 'Maharashtra', 'Y. G. Mahajan (SIR)', 'Bharatiya Janta Party', '12,39,241', '6,16,072', '49.70%',646', '3.40%', ['512', '1', 'Post Graduate',,,
['237', 'Jalna', '32', 'GEN', 'Maharashtra', 'Danve Raosaheb Dadarao Patil', 'Bharatiya Janta Party', '12,42,929', '7,55,991', '60.80%',332', '8.10%', ['120', '0', '12th Pass',,,
['238', 'Jalore', '22', 'GEN', 'Rajasthan', 'B. Susheela', 'Bharatiya Janta Party', '14,28,584', '6,54,757', '45.80%',192', '6.00%', ['55', '0', 'Post Graduate',,,
['239', 'Jalpaiguri', '3', 'SC', 'West Bengal', 'Minati Sen', 'Communist Party Of India (MARXIST)', '11,4,784', '8,84,971', '80.10%',80,605', '20.40%', 'CPM', '0',,,
['240', 'Jammu', '6', 'GEN', 'Jammu & Kashmir', 'Madan Lal Sharma', 'Indian National Congress', '18,49,989', '8,20,595', '44.40%',568', '2.10%', ['259', '0', '10th Pass',,,
['242', 'Jamshedpur', '9', 'GEN', 'Jharkhand', 'Sunil Kumar Mahato', 'Jharkhand Mukti Morcha', '13,72,125', '7,76,508', '56.60%',5,633', '13.60%', 'JMM', '3',,,
['243', 'Jangipur', '8', 'GEN', 'West Bengal', 'Pranab Mukherjee', 'Indian National Congress', '10,82,151', '8,81,248', '81.40%',860', '4.20%', ['351', '0', 'Doctorate',,,
['245', 'Jaunpur', '44', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Parasnath Yadava', 'Samajwadi Party', '15,15,676', '7,14,077', '47.10%',125', '3.80%', ['333', '0', '12th Pass',,,
['246', 'Jhabua', '28', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Kantilal Bhuria', 'Indian National Congress', '12,90,101', '6,28,135', '48.70%',282', '12.80%', ['219', '0', 'Post Graduate',,,
['247', 'Jhalawar', '15', 'GEN', 'Rajasthan', 'Dushyant Singh', 'Bharatiya Janta Party', '11,88,576', '5,67,172', '47.70%',579', '14.40%', ['153', '0', 'Post Graduate',,,
['248', 'Jhanjharpur', '14', 'GEN', 'Bihar [2000 Onwards]', 'Devendra Prasad Yadav', 'Rashtriya Janata Dal', '11,63,817', '7,4,243', '60.50%',835', '1.80%', ['126', '0', 'Graduate',,,
['249', 'Jhansi', '57', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Chandrapal Singh Yadav', 'Samajwadi Party', '15,26,320', '8,19,636', '53.70%',299', '3.20%', ['102', '1', 'Post Graduate',,,
['250', 'Jhargram', '33', 'ST', 'West Bengal', 'Rupchand Murmu', 'Communist Party Of India (MARXIST)', '10,29,496', '7,93,099', '77.00%',51,343', '44.30%', 'CPM', '1',,,
['251', 'Jhunjhunu', '4', 'GEN', 'Rajasthan', 'Shish Ram Ola', 'Indian National Congress', '13,70,602', '6,79,614', '49.60%',355', '3.40%', ['434', '0', '10th Pass',,,
['252', 'Jodhpur', '24', 'GEN', 'Rajasthan', 'Jaswant Singh Bishnoi', 'Bharatiya Janta Party', '15,72,050', '8,63,578', '54.90%',495', '4.90%', ['193', '0', 'Graduate Professional',,,
['253', 'Jorhat', '12', 'GEN', 'Assam', 'Bijoy Krishna Handique', 'Indian National Congress', '10,78,149', '6,67,973', '62.00%',292', '7.70%', ['78', '0', 'Post Graduate',,,
['254', 'Joynagar', '15', 'GEN', 'West Bengal', 'Sanat Kumar Mandal', 'Revolutionary Socialist Party', '11,36,859', '8,6,749', '71.00%',30,521', '28.60%', 'RSP', '0',,,
['255', 'Jullundur', '4', 'SC', 'Punjab', 'Rana Gurjeet Singh', 'Indian National Congress', '12,21,443', '7,42,475', '60.80%',463', '4.50%', ['394', '0', '10th Pass',,,
['256', 'Junagadh', '6', 'GEN', 'Gujarat', 'Barad Jasubhai Dhanabhai', 'Indian National Congress', '12,39,398', '6,58,280', '53.10%',921', '6.20%', ['65', '2', 'Graduate',,,
['257', 'Kaira', '19', 'ST', 'Gujarat', 'Dinsha Patel', 'Indian National Congress', '11,46,245', '4,50,808', '39.30%',749', '12.60%', ['135', '0', '10th Pass',,,
